Device,ERU - 01,ERU - 01,ERU - 01,ERU - 01
Point,Exhaust Fan Air Flow Active,Exhaust Fan Speed Output Command,Exhaust Fan Start Stop Command,EA TEMP 4
10/22/17 20:15:00,0,0.843,1,72
10/22/17 20:30:00,0,0.878,1,71.5
10/22/17 20:45:00,0,0.858,1,71.4
10/22/17 21:00:00,0,0.848,1,71.4
10/22/17 21:15:00,0,0.809,1,71.5
10/22/17 21:30:00,0,0.803,1,71.5
10/22/17 21:45:00,0,0.754,1,71.5
10/22/17 22:00:00,0,0.774,1,71.2
10/22/17 22:15:00,0,0.744,1,71.3
10/22/17 22:30:00,0,0.816,1,70.8
10/22/17 22:45:00,0,0.797,1,70.8
10/22/17 23:00:00,0,0.792,1,70.8
10/22/17 23:15:00,0,0.77,1,70.9
10/22/17 23:30:00,0,0.747,1,70.6
10/22/17 23:45:00,0,0.798,1,70.3
10/23/17 0:00:00,0,0.812,1,70.3
10/23/17 0:15:00,0,0.83,1,70
10/23/17 0:30:00,0,0.834,1,69.7
10/23/17 0:45:00,0,0.81,1,69.9
10/23/17 1:00:00,0,0.848,1,69.6
10/23/17 1:15:00,0,0.885,1,69.4
10/23/17 1:30:00,0,0.907,1,69.3
10/23/17 1:45:00,0,0.913,1,69.4
10/23/17 2:00:00,0,0.85,1,69.8
10/23/17 2:15:00,0,0.798,1,69.7
10/23/17 2:30:00,0,0.842,1,69.6
10/23/17 2:45:00,0,0.866,1,69.7
10/23/17 3:00:00,0,0.776,1,70
10/23/17 3:15:00,0,0.778,1,69.7
10/23/17 3:30:00,0,0.832,1,69.7
10/23/17 3:45:00,0,0.804,1,69.8
10/23/17 4:00:00,0,0.85,1,69.8
10/23/17 4:15:00,0,0.874,1,69.7
10/23/17 4:30:00,0,0.898,1,69.9
10/23/17 4:45:00,0,0.909,1,69.9
10/23/17 5:00:00,0,0.872,1,69.9
10/23/17 5:15:00,0,0.908,1,70.1
10/23/17 5:30:00,0,0.881,1,70.3
10/23/17 5:45:00,0,0.89,1,70.3
10/23/17 6:00:00,0,0.889,1,70.4
10/23/17 6:15:00,0,0.867,1,70.6
10/23/17 6:30:00,0,0.808,1,70.5
10/23/17 6:45:00,0,0.719,1,70.4
10/23/17 7:00:00,0,0.714,1,70.3
10/23/17 7:15:00,0,0.645,1,70.4
10/23/17 7:30:00,0,0.55,1,70.7
10/23/17 7:45:00,0,0.467,1,70.6
10/23/17 8:00:00,0,0.415,1,70.3
10/23/17 8:15:00,0,0.376,1,70.3
10/23/17 8:30:00,0,0.352,1,70.7
10/23/17 8:45:00,0,0.335,1,70.5
10/23/17 9:00:00,0,0.329,1,70.3
10/23/17 9:15:00,0,0.328,1,70.6
10/23/17 9:30:00,0,0.326,1,70.7
10/23/17 9:45:00,0,0.387,1,70.7
10/23/17 10:00:00,0,0.381,1,70.8
10/23/17 10:15:00,0,0.356,1,70.9
10/23/17 10:30:00,0,0.338,1,70.9
10/23/17 10:45:00,0,0.329,1,67.3
10/23/17 11:00:00,0,0.324,1,65.5
10/23/17 11:15:00,0,0.316,1,64.5
10/23/17 11:30:00,0,0.311,1,64.6
10/23/17 11:45:00,0,0.306,1,65.1
10/23/17 12:00:00,0,0.302,1,65.9
10/23/17 12:15:00,0,0.3,1,66.5
10/23/17 12:30:00,0,0.297,1,67.6
10/23/17 12:45:00,0,0.315,1,67.2
10/23/17 13:00:00,0,0.384,1,67.8
10/23/17 13:15:00,0,0.466,1,69.4
10/23/17 13:30:00,0,0.552,1,69.4
10/23/17 13:45:00,0,0.63,1,70.5
10/23/17 14:00:00,0,0.736,1,71.2
10/23/17 14:15:00,0,0.666,1,71.5
10/23/17 14:30:00,0,0.695,1,71.2
10/23/17 14:45:00,0,0.682,1,71.9
10/23/17 15:00:00,0,0.697,1,71.2
10/23/17 15:15:00,0,0.744,1,71.7
10/23/17 15:30:00,0,0.742,1,71.5
10/23/17 15:45:00,0,0.754,1,71.8
10/23/17 16:00:00,0,0.714,1,71.5
10/23/17 16:15:00,0,0.733,1,71.3
10/23/17 16:30:00,0,0.724,1,71.5
10/23/17 16:45:00,0,0.616,1,71.8
10/23/17 17:00:00,0,0.574,1,71
10/23/17 17:15:00,0,0.632,1,70.7
10/23/17 17:30:00,0,0.569,1,70.9
10/23/17 17:45:00,0,0.62,1,69.8
10/23/17 18:00:00,0,0.676,1,68.9
10/23/17 18:15:00,0,0.61,1,68.6
10/23/17 18:30:00,0,0.578,1,67.9
10/23/17 18:45:00,0,0.586,1,66.9
10/23/17 19:00:00,0,0.599,1,66
10/23/17 19:15:00,0,0.546,1,65
10/23/17 19:30:00,0,0.52,1,64.6
10/23/17 19:45:00,0,0.586,1,64.2
10/23/17 20:00:00,0,0.554,1,63.5
10/23/17 20:15:00,0,0.569,1,63
10/23/17 20:30:00,0,0.567,1,62.5
10/23/17 20:45:00,0,0.589,1,62.3
10/23/17 21:00:00,0,0.622,1,61.8
10/23/17 21:15:00,0,0.558,1,61.1
10/23/17 21:30:00,0,0.495,1,60.9
10/23/17 21:45:00,0,0.472,1,60.7
10/23/17 22:00:00,0,0.469,1,60.6
10/23/17 22:15:00,0,0.513,1,60.2
10/23/17 22:30:00,0,0.517,1,59.6
10/23/17 22:45:00,0,0.465,1,59.4
10/23/17 23:00:00,0,0.448,1,58.8
10/23/17 23:15:00,0,0.465,1,58.4
10/23/17 23:30:00,0,0.495,1,58.1
10/23/17 23:45:00,0,0.513,1,57.8
10/24/17 0:00:00,0,0.509,1,57.3
10/24/17 0:15:00,0,0.497,1,56.9
10/24/17 0:30:00,0,0.497,1,56.6
10/24/17 0:45:00,0,0.511,1,56.3
10/24/17 1:00:00,0,0.516,1,56.1
10/24/17 1:15:00,0,0.518,1,55.7
10/24/17 1:30:00,0,0.513,1,55.4
10/24/17 1:45:00,0,0.495,1,55
10/24/17 2:00:00,0,0.499,1,54.9
10/24/17 2:15:00,0,0.502,1,54.6
10/24/17 2:30:00,0,0.514,1,54.5
10/24/17 2:45:00,0,0.508,1,54.3
10/24/17 3:00:00,0,0.512,1,54.3
10/24/17 3:15:00,0,0.516,1,54.2
10/24/17 3:30:00,0,0.523,1,54.2
10/24/17 3:45:00,0,0.532,1,54.1
10/24/17 4:00:00,0,0.539,1,53.9
10/24/17 4:15:00,0,0.534,1,53.5
10/24/17 4:30:00,0,0.522,1,53.3
10/24/17 4:45:00,0,0.525,1,53.2
10/24/17 5:00:00,0,0.517,1,53
10/24/17 5:15:00,0,0.501,1,52.8
10/24/17 5:30:00,0,0.518,1,52.9
10/24/17 5:45:00,0,0.588,1,54.1
10/24/17 6:00:00,0,0.58,1,53.8
10/24/17 6:15:00,0,0.53,1,53.6
10/24/17 6:30:00,0,0.486,1,53.7
10/24/17 6:45:00,0,0.462,1,53.5
10/24/17 7:00:00,0,0.439,1,53.5
10/24/17 7:15:00,0,0.509,1,53.9
10/24/17 7:30:00,0,0.536,1,54
10/24/17 7:45:00,0,0.533,1,53.6
10/24/17 8:00:00,0,0.45,1,53.2
10/24/17 8:15:00,0,0.399,1,53.4
10/24/17 8:30:00,0,0.361,1,53.6
10/24/17 8:45:00,0,0.339,1,53.8
10/24/17 9:00:00,0,0.327,1,54.5
10/24/17 9:15:00,0,0.337,1,55
10/24/17 9:30:00,0,0.341,1,55.4
10/24/17 9:45:00,0,0.35,1,56.1
10/24/17 10:00:00,0,0.344,1,56.8
10/24/17 10:15:00,0,0.333,1,57.9
10/24/17 10:30:00,0,0.325,1,58.9
10/24/17 10:45:00,0,0.314,1,60.1
10/24/17 11:00:00,0,0.312,1,61.6
10/24/17 11:15:00,0,0.347,1,62.3
10/24/17 11:30:00,0,0.352,1,63.4
10/24/17 11:45:00,0,0.351,1,64.3
10/24/17 12:00:00,0,0.341,1,64.5
10/24/17 12:15:00,0,0.404,1,65.6
10/24/17 12:30:00,0,0.45,1,65.5
10/24/17 12:45:00,0,0.401,1,65.9
10/24/17 13:00:00,0,0.391,1,66
10/24/17 13:15:00,0,0.479,1,66.8
10/24/17 13:30:00,0,0.573,1,66.4
